#,Category,Feature / Tool,What It Does,API Provider,API Endpoint,HTTP Method,Used By (File),Status: Working,Status: Not Working,Notes
1,LLM Provider,Chat completions,"Runs the agent's reasoning + tool-use loop for every user message.",Google Gemini,https://generativelanguage.googleapis.com/v1beta/models/{model}:generateContent,POST,agent.js,[ ],[ ],"Target model: gemini-2.5-pro (quality) or gemini-2.5-flash (cheap/fast). Replaces Anthropic — API key in .env as GEMINI_API_KEY."
12,Equipment,Equipment / product inventory,Returns the full equipment catalog.,MonkeyMan Backend,https://server.monkeymans.com/api/product?page=1&limit=9000000,GET,tools.js (equipment_products_tool),[ ],[ ],Limit intentionally huge to fetch everything in one call.
13,PTO,PTO by employee,Primary PTO lookup — returns all PTO for one email.,MonkeyMan Backend,https://server.monkeymans.com/api/pto/email/{email},GET,tools.js (Get_pto_by_email),[ ],[ ],
14,PTO,PTO by id,Single PTO record by _id.,MonkeyMan Backend,https://server.monkeymans.com/api/pto/{id},GET,tools.js (Get_PTO_by_id),[ ],[ ],
15,PTO,PTO by date range,All PTO overlapping a date window (last resort — prefer by-email).,MonkeyMan Backend,https://server.monkeymans.com/api/pto?startDate&endDate,GET,tools.js (Get_all_PTO),[ ],[ ],
16,PTO,Request a PTO,Submits a new PTO request.,MonkeyMan Backend,https://server.monkeymans.com/api/pto,POST,tools.js (Request_a_PTO),[ ],[ ],"WRITE action — submitter email is taken from the session automatically."
17,PTO,Approve / deny PTO,Flips a PTO to approved or rejected with a comment.,MonkeyMan Backend,https://server.monkeymans.com/api/pto/{id}/status,POST,tools.js (Approve_or_Deny_a_PTO),[ ],[ ],"WRITE action — Manager / Admin / DepartmentHead only."
18,VTR (Timecards),VTR by employee,Returns timecard records for an employee (by weekEnding or date range).,MonkeyMan Backend,https://server.monkeymans.com/api/timecard/email/{email},GET,tools.js (Get_VTR_by_email),[ ],[ ],
19,VTR (Timecards),Verify a VTR,Marks a timecard as verified by a manager.,MonkeyMan Backend,https://server.monkeymans.com/api/timecard/{id}/verify,POST,tools.js (Verify_VTR),[ ],[ ],"WRITE action — Manager / Admin / DepartmentHead only."
20,Incidents,File an incident,Creates a new incident report.,MonkeyMan Backend,https://server.monkeymans.com/api/incident-report,POST,tools.js (Report_incident),[ ],[ ],"WRITE action — completedByEmail is the logged-in user."
21,Incidents,Incidents by employee,Past incident reports filed / involving / witnessed by the email.,MonkeyMan Backend,https://server.monkeymans.com/api/incident-report/email/{email},GET,tools.js (Get_incidents_by_email),[ ],[ ],Supports page + limit.
22,On-Call,On-call for one employee,Schedule for the employee's team(s).,MonkeyMan Backend,https://server.monkeymans.com/api/oncall/email/{email},GET,tools.js (Get_my_on_call_schedule),[ ],[ ],
23,On-Call,All rotations,All on-call rotations — optional year + month filter.,MonkeyMan Backend,https://server.monkeymans.com/api/oncall?year&month,GET,tools.js (Get_all_on_call_rotations),[ ],[ ],
24,On-Call,Rotations by date range,Rotations overlapping a date range (both dates required).,MonkeyMan Backend,https://server.monkeymans.com/api/oncall/date-range?startDate&endDate,GET,tools.js (Get_on_call_by_date_range),[ ],[ ],
25,Forms,List forms,All active checklist / form templates.,MonkeyMan Backend,https://server.monkeymans.com/api/forms,GET,tools.js (List_forms),[ ],[ ],
26,Forms,Form by id,Single form template by _id.,MonkeyMan Backend,https://server.monkeymans.com/api/forms/{id},GET,tools.js (Get_form_by_id),[ ],[ ],
27,Permits,Permit rules lookup,Filters permit rules by municipality / type (all filters optional).,MonkeyMan Backend,https://server.monkeymans.com/api/permit?municipality&type&page&limit,GET,tools.js (Permit_rules_lookup),[ ],[ ],Case-insensitive filters.
28,Internal — Auth,Login,Issues a bearer token after validating email + password.,Internal (this service),/auth/login,POST,server.js,[ ],[ ],"Calls MonkeyMan employee + role APIs internally. Shared password: LOGIN_PASSWORD in .env."
29,Internal — Auth,Session restore,Returns the current session so the UI can restore state on reload.,Internal (this service),/auth/me,GET,server.js,[ ],[ ],Requires Bearer token. 8-hour TTL.
30,Internal — Auth,Logout,Invalidates the bearer token server-side.,Internal (this service),/auth/logout,POST,server.js,[ ],[ ],
31,Internal — Chat,Send message to agent,Main chat entry point — routes user input through the Gemini tool-use loop.,Internal (this service),/chat,POST,server.js → agent.js,[ ],[ ],Requires Bearer token. Returns { output, toolCalls }.
32,Internal — Chat,Clear session memory,Wipes the conversation history for a sessionId (New Chat button).,Internal (this service),/chat/{sessionId},DELETE,server.js,[ ],[ ],
33,Internal — Chat,Health check,Liveness probe for uptime monitors.,Internal (this service),/health,GET,server.js,[ ],[ ],"Returns { ok, model, devMode }. Update model string to Gemini on swap."
